qseqid	sseqid	pid	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Tt.REP66#nonLTR/nonLTR	chr_002	94.318	440	16	6	1	436	15315497	15315063	0.0	665.0
Tt.REP66#nonLTR/nonLTR	chr_002	81.863	805	105	4	3533	4337	2172262	2173025	0.0	640.0
Tt.REP66#nonLTR/nonLTR	chr_002	85.787	591	81	2	4390	4980	14172642	14172055	1.96e-176	623.0
Tt.REP66#nonLTR/nonLTR	chr_002	89.095	486	53	0	4013	4498	15312119	15312604	7.11e-171	604.0
Tt.REP66#nonLTR/nonLTR	chr_002	80.155	776	112	25	751	1511	5484180	5484928	5.65e-152	542.0
Tt.REP66#nonLTR/nonLTR	chr_002	82.623	610	87	6	4517	5126	14140429	14139839	7.36e-146	521.0
Tt.REP66#nonLTR/nonLTR	chr_002	82.462	593	64	9	4363	4938	12018149	12018718	3.4699999999999997e-134	483.0
Tt.REP66#nonLTR/nonLTR	chr_002	92.547	322	22	2	415	736	12267277	12266958	1.63e-127	460.0
Tt.REP66#nonLTR/nonLTR	chr_002	99.583	240	1	0	5866	6105	10675387	10675626	7.63e-121	438.0
Tt.REP66#nonLTR/nonLTR	chr_002	92.715	302	18	3	1	299	14702116	14702416	3.55e-119	433.0
Tt.REP66#nonLTR/nonLTR	chr_002	88.889	351	23	5	2776	3125	2527575	2527910	9.94e-115	418.0
Tt.REP66#nonLTR/nonLTR	chr_002	88.889	324	22	12	1476	1789	2493296	2493615	2.8e-105	387.0
Tt.REP66#nonLTR/nonLTR	chr_002	84.267	375	48	3	4030	4394	14140803	14140430	7.9e-96	355.0
Tt.REP66#nonLTR/nonLTR	chr_002	96.19	210	4	3	1	207	2705877	2706085	2.21e-91	340.0
Tt.REP66#nonLTR/nonLTR	chr_002	94.419	215	4	4	3	214	4980276	4980485	2.23e-86	324.0
Tt.REP66#nonLTR/nonLTR	chr_002	97.727	176	1	2	3	175	21975399	21975574	3.7600000000000004e-79	300.0
Tt.REP66#nonLTR/nonLTR	chr_002	97.11	173	5	0	1887	2059	9366956	9367128	6.2800000000000004e-77	292.0
Tt.REP66#nonLTR/nonLTR	chr_002	82.934	334	47	7	1789	2117	9374835	9375163	6.2800000000000004e-77	292.0
Tt.REP66#nonLTR/nonLTR	chr_002	100.0	152	0	0	5952	6103	12221060	12220909	1.3600000000000002e-73	281.0
Tt.REP66#nonLTR/nonLTR	chr_002	82.105	285	42	9	5026	5306	12078435	12078714	1.0700000000000001e-59	235.0
Tt.REP66#nonLTR/nonLTR	chr_002	92.81	153	11	0	648	800	8260374	8260526	8.36e-56	222.0
Tt.REP66#nonLTR/nonLTR	chr_002	97.938	97	2	0	763	859	14128540	14128444	1.1e-39	169.0
Tt.REP66#nonLTR/nonLTR	chr_002	92.982	114	7	1	5849	5962	17819113	17819001	1.43e-38	165.0
Tt.REP66#nonLTR/nonLTR	chr_002	85.714	112	11	5	5994	6103	13649108	13649216	5.2499999999999996e-23	113.0
Tt.REP66#nonLTR/nonLTR	chr_002	84.112	107	8	8	6000	6103	4986148	4986248	1.9e-17	95.3
Tt.REP66#nonLTR/nonLTR	chr_002	93.75	64	3	1	5659	5722	16029431	16029369	1.9e-17	95.3
Tt.REP66#nonLTR/nonLTR	chr_002	84.314	102	8	8	6005	6103	24433138	24433042	6.84e-17	93.5
Tt.REP66#nonLTR/nonLTR	chr_002	96.364	55	2	0	3130	3184	11167367	11167313	2.46e-16	91.6
Tt.REP66#nonLTR/nonLTR	chr_002	90.625	64	4	2	6041	6103	7671457	7671395	4.12e-14	84.2
Tt.REP66#nonLTR/nonLTR	chr_002	79.508	122	15	9	5987	6103	11164704	11164588	1.92e-12	78.7
Tt.REP66#nonLTR/nonLTR	chr_002	81.0	100	13	6	6006	6103	1222173	1222078	2.48e-11	75.0
Tt.REP66#nonLTR/nonLTR	chr_005	93.399	3636	202	11	1513	5142	8248377	8244774	0.0	5350.0
Tt.REP66#nonLTR/nonLTR	chr_005	87.056	3801	415	42	424	4179	12216672	12212904	0.0	4222.0
Tt.REP66#nonLTR/nonLTR	chr_005	87.84	1801	169	25	1629	3397	14145101	14143319	0.0	2067.0
Tt.REP66#nonLTR/nonLTR	chr_005	88.696	1672	123	27	535	2168	19675746	19674103	0.0	1980.0
Tt.REP66#nonLTR/nonLTR	chr_005	86.864	1652	183	21	3704	5343	15535690	15537319	0.0	1818.0
Tt.REP66#nonLTR/nonLTR	chr_005	88.744	1457	149	2	2339	3795	11307813	11309254	0.0	1768.0
Tt.REP66#nonLTR/nonLTR	chr_005	93.107	1117	65	6	2	1111	15482145	15483256	0.0	1626.0
Tt.REP66#nonLTR/nonLTR	chr_005	86.131	1132	149	8	4244	5371	20244916	20243789	0.0	1214.0
Tt.REP66#nonLTR/nonLTR	chr_005	94.828	754	34	4	1937	2689	17113246	17113995	0.0	1171.0
Tt.REP66#nonLTR/nonLTR	chr_005	84.124	1222	161	18	3095	4308	9303533	9304729	0.0	1151.0
Tt.REP66#nonLTR/nonLTR	chr_005	82.526	1322	208	17	1788	3103	1272919	1274223	0.0	1140.0
Tt.REP66#nonLTR/nonLTR	chr_005	90.049	824	78	2	3593	4412	17472575	17473398	0.0	1064.0
Tt.REP66#nonLTR/nonLTR	chr_005	86.792	954	82	34	1262	2176	17419192	17420140	0.0	1024.0
Tt.REP66#nonLTR/nonLTR	chr_005	96.694	605	15	3	1084	1688	15515668	15516267	0.0	1002.0
Tt.REP66#nonLTR/nonLTR	chr_005	85.577	936	133	2	4397	5331	12212801	12211867	0.0	979.0
Tt.REP66#nonLTR/nonLTR	chr_005	85.928	938	86	31	1320	2218	14223637	14222707	0.0	959.0
Tt.REP66#nonLTR/nonLTR	chr_005	87.5	808	98	3	3861	4668	15483258	15484062	0.0	929.0
Tt.REP66#nonLTR/nonLTR	chr_005	94.664	581	24	4	1	578	8248954	8248378	0.0	894.0
Tt.REP66#nonLTR/nonLTR	chr_005	84.615	923	96	29	1245	2126	9895174	9894257	0.0	876.0
Tt.REP66#nonLTR/nonLTR	chr_005	83.733	959	108	28	1976	2914	9302447	9303377	0.0	863.0
Tt.REP66#nonLTR/nonLTR	chr_005	84.971	865	112	11	4526	5381	11292558	11293413	0.0	861.0
Tt.REP66#nonLTR/nonLTR	chr_005	95.446	527	20	3	2	525	14225051	14224526	0.0	837.0
Tt.REP66#nonLTR/nonLTR	chr_005	95.728	515	15	4	4	515	17517106	17517616	0.0	822.0
Tt.REP66#nonLTR/nonLTR	chr_005	92.688	465	27	5	1	462	9515472	9515932	0.0	664.0
Tt.REP66#nonLTR/nonLTR	chr_005	93.363	452	22	5	1027	1471	20350008	20349558	0.0	662.0
Tt.REP66#nonLTR/nonLTR	chr_005	85.093	644	90	5	4656	5296	9513253	9513893	0.0	652.0
Tt.REP66#nonLTR/nonLTR	chr_005	85.531	622	82	6	4757	5370	20251761	20251140	0.0	643.0
Tt.REP66#nonLTR/nonLTR	chr_005	88.975	517	55	2	3287	3802	11280364	11280879	0.0	638.0
Tt.REP66#nonLTR/nonLTR	chr_005	94.602	389	17	3	1	386	13349590	13349203	3.31e-169	599.0
Tt.REP66#nonLTR/nonLTR	chr_005	89.956	458	46	0	4244	4701	19671668	19671211	5.530000000000001e-167	592.0
Tt.REP66#nonLTR/nonLTR	chr_005	87.19	484	60	2	4613	5095	17473392	17473874	3.38e-154	549.0
Tt.REP66#nonLTR/nonLTR	chr_005	79.365	756	92	42	1542	2260	20244991	20245719	2.09e-131	473.0
Tt.REP66#nonLTR/nonLTR	chr_005	86.261	444	44	5	3127	3568	12066939	12066511	3.5000000000000004e-129	466.0
Tt.REP66#nonLTR/nonLTR	chr_005	97.436	273	4	2	1	271	2124553	2124282	4.5299999999999995e-128	462.0
Tt.REP66#nonLTR/nonLTR	chr_005	81.445	512	89	5	4859	5367	11306891	11307399	1.29e-113	414.0
Tt.REP66#nonLTR/nonLTR	chr_005	93.141	277	15	1	2939	3211	17114410	17114686	2.7800000000000005e-110	403.0
Tt.REP66#nonLTR/nonLTR	chr_005	74.917	901	199	21	277	1162	1027426	1028314	2.8e-105	387.0
Tt.REP66#nonLTR/nonLTR	chr_005	88.776	294	17	8	941	1234	20302821	20303098	4.76e-93	346.0
Tt.REP66#nonLTR/nonLTR	chr_005	95.169	207	6	3	4	207	15514626	15514831	2.23e-86	324.0
Tt.REP66#nonLTR/nonLTR	chr_005	89.02	255	19	2	957	1202	14145356	14145102	2.2399999999999997e-81	307.0
Tt.REP66#nonLTR/nonLTR	chr_005	88.281	256	23	3	673	928	14145606	14145358	3.7600000000000004e-79	300.0
Tt.REP66#nonLTR/nonLTR	chr_005	98.81	168	1	1	1431	1597	20254735	20254568	1.35e-78	298.0
Tt.REP66#nonLTR/nonLTR	chr_005	96.45	169	3	2	1	166	20350859	20350691	6.33e-72	276.0
Tt.REP66#nonLTR/nonLTR	chr_005	91.453	117	9	1	1089	1205	12003789	12003904	6.650000000000001e-37	159.0
Tt.REP66#nonLTR/nonLTR	chr_005	92.857	70	5	0	4854	4923	20486644	20486575	1.14e-19	102.0
Tt.REP66#nonLTR/nonLTR	chr_005	84.259	108	9	7	6000	6103	17374501	17374604	1.47e-18	99.0
Tt.REP66#nonLTR/nonLTR	chr_003	90.59	4017	344	16	1298	5302	15833399	15837393	0.0	5293.0
Tt.REP66#nonLTR/nonLTR	chr_003	90.488	3995	304	46	201	4135	231345	227367	0.0	5203.0
Tt.REP66#nonLTR/nonLTR	chr_003	92.556	2042	139	6	1779	3820	13655722	13657750	0.0	2916.0
Tt.REP66#nonLTR/nonLTR	chr_003	90.33	2244	133	42	109	2301	29096075	29093865	0.0	2865.0
Tt.REP66#nonLTR/nonLTR	chr_003	90.434	1819	173	1	3061	4879	29040726	29038909	0.0	2394.0
Tt.REP66#nonLTR/nonLTR	chr_003	93.831	1540	82	8	12	1548	464593	466122	0.0	2305.0
Tt.REP66#nonLTR/nonLTR	chr_003	89.33	1762	146	9	2159	3920	12257697	12255978	0.0	2174.0
Tt.REP66#nonLTR/nonLTR	chr_003	93.174	1421	78	11	2	1418	8372448	8371043	0.0	2069.0
Tt.REP66#nonLTR/nonLTR	chr_003	89.315	1488	153	5	3818	5302	13659028	13660512	0.0	1862.0
Tt.REP66#nonLTR/nonLTR	chr_003	89.607	1299	124	9	2420	3714	31255850	31254559	0.0	1640.0
Tt.REP66#nonLTR/nonLTR	chr_003	94.135	989	51	3	2229	3211	14728473	14729460	0.0	1498.0
Tt.REP66#nonLTR/nonLTR	chr_003	86.989	1322	164	5	3024	4344	12740660	12739346	0.0	1482.0
Tt.REP66#nonLTR/nonLTR	chr_003	85.304	1429	179	16	3956	5379	12255976	12254574	0.0	1447.0
Tt.REP66#nonLTR/nonLTR	chr_003	85.667	1214	112	32	971	2147	14067937	14069125	0.0	1221.0
Tt.REP66#nonLTR/nonLTR	chr_003	83.209	1340	215	10	3991	5324	12703106	12701771	0.0	1219.0
Tt.REP66#nonLTR/nonLTR	chr_003	85.287	1237	111	39	1197	2391	13708174	13706967	0.0	1210.0
Tt.REP66#nonLTR/nonLTR	chr_003	86.044	1039	141	4	4292	5328	17211803	17212839	0.0	1112.0
Tt.REP66#nonLTR/nonLTR	chr_003	88.578	893	70	14	2355	3222	12704929	12704044	0.0	1055.0
Tt.REP66#nonLTR/nonLTR	chr_003	94.586	665	28	5	2	662	14067176	14067836	0.0	1022.0
Tt.REP66#nonLTR/nonLTR	chr_003	93.064	692	36	10	1078	1760	18678020	18677332	0.0	1002.0
Tt.REP66#nonLTR/nonLTR	chr_003	90.63	683	56	3	482	1163	16017646	16016971	0.0	900.0
Tt.REP66#nonLTR/nonLTR	chr_003	89.246	716	74	3	2234	2948	13737462	13736749	0.0	893.0
Tt.REP66#nonLTR/nonLTR	chr_003	96.111	540	17	3	1	537	14770324	14770862	0.0	878.0
Tt.REP66#nonLTR/nonLTR	chr_003	89.957	468	47	0	2435	2902	29041194	29040727	7.11e-171	604.0
Tt.REP66#nonLTR/nonLTR	chr_003	94.301	386	19	2	1	384	13737928	13737544	7.16e-166	588.0
Tt.REP66#nonLTR/nonLTR	chr_003	93.883	376	19	3	1	373	12259993	12259619	1.21e-158	564.0
Tt.REP66#nonLTR/nonLTR	chr_003	93.016	315	21	1	3126	3439	13736749	13736435	5.85e-127	459.0
Tt.REP66#nonLTR/nonLTR	chr_003	92.409	303	23	0	3542	3844	466119	466421	3.55e-119	433.0
Tt.REP66#nonLTR/nonLTR	chr_003	90.0	330	33	0	3920	4249	13735857	13735528	1.65e-117	427.0
Tt.REP66#nonLTR/nonLTR	chr_003	82.022	445	74	5	4889	5330	466422	466863	2.18e-101	374.0
Tt.REP66#nonLTR/nonLTR	chr_003	83.784	407	51	8	4979	5379	29038890	29038493	7.85e-101	372.0
Tt.REP66#nonLTR/nonLTR	chr_003	73.103	1160	241	47	1	1137	26579078	26580189	1.32e-93	348.0
Tt.REP66#nonLTR/nonLTR	chr_003	81.902	326	54	3	4555	4878	4259880	4260202	2.94e-70	270.0
Tt.REP66#nonLTR/nonLTR	chr_003	97.561	123	3	0	5532	5654	15726938	15727060	1.8099999999999997e-52	211.0
Tt.REP66#nonLTR/nonLTR	chr_003	85.811	148	18	2	5228	5375	10313764	10313908	3.09e-35	154.0
Tt.REP66#nonLTR/nonLTR	chr_003	95.122	82	4	0	2149	2230	13737464	13737545	5.21e-28	130.0
Tt.REP66#nonLTR/nonLTR	chr_003	81.818	110	12	7	6001	6104	9151783	9151890	1.14e-14	86.1
Tt.REP66#nonLTR/nonLTR	chr_003	90.625	64	4	2	6041	6103	13478579	13478641	4.12e-14	84.2
Tt.REP66#nonLTR/nonLTR	chr_003	82.353	102	11	7	6005	6103	8372565	8372468	1.48e-13	82.4
Tt.REP66#nonLTR/nonLTR	chr_003	89.062	64	5	2	6041	6103	13152792	13152730	1.92e-12	78.7
Tt.REP66#nonLTR/nonLTR	chr_003	92.157	51	4	0	2126	2176	12257748	12257698	8.91e-11	73.1
Tt.REP66#nonLTR/nonLTR	chr_004	91.646	3615	265	18	149	3744	27735078	27731482	0.0	4968.0
Tt.REP66#nonLTR/nonLTR	chr_004	88.91	2687	287	8	2622	5304	4729673	4726994	0.0	3301.0
Tt.REP66#nonLTR/nonLTR	chr_004	85.499	3179	421	33	1102	4268	12918296	12915146	0.0	3280.0
Tt.REP66#nonLTR/nonLTR	chr_004	89.149	2433	215	25	1663	4057	12759304	12761725	0.0	2985.0
Tt.REP66#nonLTR/nonLTR	chr_004	89.327	1799	180	6	2727	4523	18696050	18694262	0.0	2248.0
Tt.REP66#nonLTR/nonLTR	chr_004	88.901	1838	168	28	1364	3192	17199231	17201041	0.0	2231.0
Tt.REP66#nonLTR/nonLTR	chr_004	86.038	2027	276	6	2366	4390	11491479	11489458	0.0	2169.0
Tt.REP66#nonLTR/nonLTR	chr_004	87.213	1830	137	43	1100	2861	18671277	18669477	0.0	1993.0
Tt.REP66#nonLTR/nonLTR	chr_004	88.771	1603	127	35	797	2355	11966646	11965053	0.0	1914.0
Tt.REP66#nonLTR/nonLTR	chr_004	86.985	1675	206	9	3704	5371	18669317	18667648	0.0	1875.0
Tt.REP66#nonLTR/nonLTR	chr_004	92.483	1184	63	7	136	1310	17622090	17620924	0.0	1670.0
Tt.REP66#nonLTR/nonLTR	chr_004	86.122	1506	193	5	3805	5310	30409792	30408303	0.0	1609.0
Tt.REP66#nonLTR/nonLTR	chr_004	89.831	1239	104	11	1451	2680	18697277	18696052	0.0	1570.0
Tt.REP66#nonLTR/nonLTR	chr_004	94.512	984	54	0	1954	2937	18242469	18241486	0.0	1519.0
Tt.REP66#nonLTR/nonLTR	chr_004	86.162	1308	120	31	508	1797	11492784	11491520	0.0	1356.0
Tt.REP66#nonLTR/nonLTR	chr_004	86.456	1233	165	2	4091	5322	12913582	12912351	0.0	1351.0
Tt.REP66#nonLTR/nonLTR	chr_004	91.684	974	74	3	220	1189	2429636	2428666	0.0	1343.0
Tt.REP66#nonLTR/nonLTR	chr_004	93.622	878	45	6	800	1668	12407327	12408202	0.0	1301.0
Tt.REP66#nonLTR/nonLTR	chr_004	90.846	863	77	2	2953	3814	2356492	2355631	0.0	1155.0
Tt.REP66#nonLTR/nonLTR	chr_004	85.0	1040	132	18	1	1038	16091547	16090530	0.0	1035.0
Tt.REP66#nonLTR/nonLTR	chr_004	95.406	566	22	3	1	563	18424175	18423611	0.0	898.0
Tt.REP66#nonLTR/nonLTR	chr_004	85.287	870	119	6	4517	5381	14214452	14215317	0.0	889.0
Tt.REP66#nonLTR/nonLTR	chr_004	94.361	532	5	4	1	530	15038114	15038622	0.0	793.0
Tt.REP66#nonLTR/nonLTR	chr_004	94.664	506	23	2	388	892	11863191	11862689	0.0	782.0
Tt.REP66#nonLTR/nonLTR	chr_004	82.979	846	110	18	929	1752	131602	132435	0.0	734.0
Tt.REP66#nonLTR/nonLTR	chr_004	94.505	455	18	2	968	1415	12757515	12757969	0.0	695.0
Tt.REP66#nonLTR/nonLTR	chr_004	82.673	808	113	17	295	1098	19297424	19296640	0.0	691.0
Tt.REP66#nonLTR/nonLTR	chr_004	93.626	455	25	3	1	452	11493243	11492790	0.0	676.0
Tt.REP66#nonLTR/nonLTR	chr_004	85.833	600	77	8	4709	5304	3581507	3582102	1.17e-178	630.0
Tt.REP66#nonLTR/nonLTR	chr_004	83.454	689	92	18	1797	2475	16090395	16089719	7.06e-176	621.0
Tt.REP66#nonLTR/nonLTR	chr_004	88.69	504	46	7	1249	1746	12911338	12910840	7.11e-171	604.0
Tt.REP66#nonLTR/nonLTR	chr_004	90.84	393	35	1	427	819	2753610	2754001	5.69e-147	525.0
Tt.REP66#nonLTR/nonLTR	chr_004	82.567	631	69	26	1172	1798	12422129	12422722	9.52e-145	518.0
Tt.REP66#nonLTR/nonLTR	chr_004	81.279	657	97	13	193	843	130966	131602	5.73e-142	508.0
Tt.REP66#nonLTR/nonLTR	chr_004	84.8	500	63	7	1	493	5797936	5797443	2.08e-136	490.0
Tt.REP66#nonLTR/nonLTR	chr_004	82.633	547	92	3	4722	5267	11932309	11931765	1.25e-133	481.0
Tt.REP66#nonLTR/nonLTR	chr_004	93.355	301	16	3	1	298	12911647	12911348	5.900000000000001e-122	442.0
Tt.REP66#nonLTR/nonLTR	chr_004	95.276	254	8	3	1	251	13232488	13232740	3.6e-109	399.0
Tt.REP66#nonLTR/nonLTR	chr_004	85.843	332	42	3	4337	4664	12107256	12107586	1.32e-93	348.0
Tt.REP66#nonLTR/nonLTR	chr_004	96.465	198	3	3	1	195	176186	175990	2.23e-86	324.0
Tt.REP66#nonLTR/nonLTR	chr_004	97.34	188	1	3	1	185	13247826	13248012	3.73e-84	316.0
Tt.REP66#nonLTR/nonLTR	chr_004	95.833	192	8	0	3172	3363	12409728	12409919	1.73e-82	311.0
Tt.REP66#nonLTR/nonLTR	chr_004	93.056	216	7	5	1	214	12406356	12406565	6.239999999999999e-82	309.0
Tt.REP66#nonLTR/nonLTR	chr_004	86.466	266	29	1	4472	4730	11489457	11489192	1.05e-74	285.0
Tt.REP66#nonLTR/nonLTR	chr_004	95.556	180	4	3	3	179	18869361	18869183	1.05e-74	285.0
Tt.REP66#nonLTR/nonLTR	chr_004	82.886	298	48	3	4883	5178	18900276	18899980	1.37e-68	265.0
Tt.REP66#nonLTR/nonLTR	chr_004	96.273	161	2	3	2	159	3576951	3577110	1.77e-67	261.0
Tt.REP66#nonLTR/nonLTR	chr_004	82.414	290	49	2	283	571	3151369	3151657	1.0700000000000001e-64	252.0
Tt.REP66#nonLTR/nonLTR	chr_004	83.088	272	36	5	5122	5385	18899583	18899314	8.299999999999999e-61	239.0
Tt.REP66#nonLTR/nonLTR	chr_004	85.075	201	27	1	1968	2168	17711622	17711819	1.09e-49	202.0
Tt.REP66#nonLTR/nonLTR	chr_004	90.909	132	11	1	903	1033	2754263	2754132	6.599999999999999e-42	176.0
Tt.REP66#nonLTR/nonLTR	chr_004	90.647	139	2	1	5527	5654	18458501	18458363	2.37e-41	174.0
Tt.REP66#nonLTR/nonLTR	chr_004	85.47	117	16	1	1618	1733	16090540	16090424	3.14e-25	121.0
Tt.REP66#nonLTR/nonLTR	chr_004	87.234	94	12	0	5209	5302	18694257	18694164	2.4400000000000002e-21	108.0
Tt.REP66#nonLTR/nonLTR	chr_004	84.536	97	15	0	1068	1164	3152444	3152540	5.29e-18	97.1
Tt.REP66#nonLTR/nonLTR	chr_004	83.962	106	11	6	6000	6103	19342547	19342446	5.29e-18	97.1
Tt.REP66#nonLTR/nonLTR	chr_004	84.314	102	7	8	6005	6103	13556535	13556630	2.46e-16	91.6
Tt.REP66#nonLTR/nonLTR	chr_004	81.982	111	15	4	6001	6107	17500238	17500347	8.85e-16	89.8
Tt.REP66#nonLTR/nonLTR	chr_004	85.714	84	9	3	6010	6092	13461588	13461507	1.14e-14	86.1
Tt.REP66#nonLTR/nonLTR	chr_004	81.25	112	13	8	5994	6103	12359133	12359238	4.12e-14	84.2
Tt.REP66#nonLTR/nonLTR	chr_004	82.692	104	8	8	6002	6101	12919904	12919807	4.12e-14	84.2
Tt.REP66#nonLTR/nonLTR	chr_004	96.0	50	2	0	6054	6103	2353793	2353744	1.48e-13	82.4
Tt.REP66#nonLTR/nonLTR	chr_004	79.661	118	13	10	5995	6103	13850426	13850541	2.48e-11	75.0
Tt.REP66#nonLTR/nonLTR	chr_001	94.533	1829	82	11	1	1818	18220952	18219131	0.0	2808.0
Tt.REP66#nonLTR/nonLTR	chr_001	88.831	1907	205	7	3400	5302	22136151	22138053	0.0	2335.0
Tt.REP66#nonLTR/nonLTR	chr_001	95.431	1182	43	7	2	1179	36310691	36309517	0.0	1873.0
Tt.REP66#nonLTR/nonLTR	chr_001	94.791	1171	41	9	1262	2421	14686682	14687843	0.0	1807.0
Tt.REP66#nonLTR/nonLTR	chr_001	88.322	1490	127	21	1	1487	20351025	20349580	0.0	1744.0
Tt.REP66#nonLTR/nonLTR	chr_001	92.127	1194	80	11	426	1612	247231	246045	0.0	1672.0
Tt.REP66#nonLTR/nonLTR	chr_001	89.177	1312	139	1	3521	4829	14564341	14563030	0.0	1633.0
Tt.REP66#nonLTR/nonLTR	chr_001	91.695	1180	91	4	2636	3814	22020326	22021499	0.0	1629.0
Tt.REP66#nonLTR/nonLTR	chr_001	87.744	1330	106	36	748	2033	22067782	22069098	0.0	1500.0
Tt.REP66#nonLTR/nonLTR	chr_001	87.077	1331	162	8	4042	5364	13025202	13023874	0.0	1496.0
Tt.REP66#nonLTR/nonLTR	chr_001	86.142	1371	172	14	3941	5302	22018350	22019711	0.0	1463.0
Tt.REP66#nonLTR/nonLTR	chr_001	95.578	882	35	3	1	879	22132119	22132999	0.0	1410.0
Tt.REP66#nonLTR/nonLTR	chr_001	92.842	922	53	2	2784	3705	11850571	11851479	0.0	1325.0
Tt.REP66#nonLTR/nonLTR	chr_001	94.556	845	46	0	2708	3552	16125692	16124848	0.0	1306.0
Tt.REP66#nonLTR/nonLTR	chr_001	87.396	1079	133	3	4267	5343	19195003	19193926	0.0	1236.0
Tt.REP66#nonLTR/nonLTR	chr_001	85.929	1066	144	5	4240	5302	15331115	15330053	0.0	1133.0
Tt.REP66#nonLTR/nonLTR	chr_001	92.602	784	56	2	2126	2908	49898	49116	0.0	1125.0
Tt.REP66#nonLTR/nonLTR	chr_001	93.054	763	51	2	2729	3490	8457430	8458191	0.0	1114.0
Tt.REP66#nonLTR/nonLTR	chr_001	86.816	1024	93	29	1181	2168	22134092	22135109	0.0	1105.0
Tt.REP66#nonLTR/nonLTR	chr_001	95.614	684	30	0	528	1211	14685997	14686680	0.0	1098.0
Tt.REP66#nonLTR/nonLTR	chr_001	80.872	1422	225	30	2132	3545	34797905	34799287	0.0	1075.0
Tt.REP66#nonLTR/nonLTR	chr_001	86.349	923	122	4	4421	5341	8460084	8461004	0.0	1003.0
