qseqid	sseqid	pid	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Normalized_Score
Contig[0005]#unclass/unclass	chr_004	99.415	171	1	0	29	199	4082218	4082388	1.38e-84	313.0	1.84
Contig[0005]#unclass/unclass	chr_001	100.0	151	0	0	49	199	35013899	35014049	1.4e-74	279.0	1.86
Contig[0005]#unclass/unclass	chr_002	100.0	151	0	0	49	199	18996278	18996428	1.4e-74	279.0	1.86
Contig[0005]#unclass/unclass	chr_002	100.0	54	0	0	146	199	5136114	5136167	1.17e-20	100.0	1.89
Contig[0005]#unclass/unclass	chr_001	100.0	141	0	0	59	199	9131025	9131165	5.07e-69	261.0	1.86
Contig[0005]#unclass/unclass	chr_005	99.497	199	1	0	1	199	13402487	13402685	3.76e-100	364.0	1.84
Contig[0005]#unclass/unclass	chr_002	98.995	199	2	0	1	199	14114001	14114199	1.75e-98	359.0	1.81
Contig[0005]#unclass/unclass	chr_003	99.465	187	1	0	13	199	12927997	12928183	1.76e-93	342.0	1.84
Contig[0005]#unclass/unclass	chr_002	100.0	146	0	0	54	199	10945769	10945914	8.43e-72	270.0	1.86
Contig[0007]#nonTE/REP-MAC	chr_003	95.636	550	24	0	1	550	22367016	22367565	0.0	883.0	1.61
Contig[0007]#nonTE/REP-MAC	chr_003	94.109	645	36	1	1	645	21726951	21727593	0.0	979.0	1.52
Contig[0007]#nonTE/REP-MAC	chr_003	96.13	646	25	0	1	646	22294589	22295234	0.0	1055.0	1.64
Contig[0007]#nonTE/REP-MAC	chr_003	95.82	646	27	0	1	646	22335584	22336229	0.0	1044.0	1.62
Contig[0008].H#DNA/piggyBac	chr_003	95.551	517	17	1	1	517	18542371	18542881	0.0	822.0	1.61
Contig[0008].H#DNA/piggyBac	chr_001	97.099	517	14	1	1	517	465229	465744	0.0	870.0	1.69
Contig[0008].H#DNA/piggyBac	chr_005	99.275	138	1	0	380	517	20375616	20375753	3.1e-65	250.0	1.82
Contig[0009]#DNA/TcMar	chr_002	98.295	821	13	1	1	821	13045799	13046618	0.0	1439.0	1.76
Contig[0009]#DNA/TcMar	chr_003	93.353	662	21	6	1	660	10720401	10721041	0.0	959.0	1.5
Contig[0009]#DNA/TcMar	chr_003	96.224	821	30	1	1	821	16969924	16970743	0.0	1345.0	1.64
Contig[0009]#DNA/TcMar	chr_003	96.606	825	24	1	1	821	31276823	31277647	0.0	1367.0	1.66
Contig[0009]#DNA/TcMar	chr_001	99.013	608	6	0	1	608	12867604	12868211	0.0	1092.0	1.8
Contig[0011].chkTE#unclass/unclass	chr_004	95.0	160	3	2	156	315	13500747	13500901	2.3700000000000003e-64	246.0	1.6
Contig[0011].chkTE#unclass/unclass	chr_002	96.154	312	5	1	1	312	3126021	3126325	1.27e-141	503.0	1.65
Contig[0011].chkTE#unclass/unclass	chr_001	97.143	315	8	1	1	315	11212599	11212912	5.84e-150	531.0	1.7
Contig[0011].chkTE#unclass/unclass	chr_004	98.73	315	3	1	1	315	11795910	11796223	2.6799999999999998e-158	558.0	1.78
Contig[0013]#DNA/Merlin	chr_005	99.318	733	5	0	1	733	7542137	7542869	0.0	1332.0	1.82
Contig[0013]#DNA/Merlin	chr_005	100.0	82	0	0	1	82	10935656	10935737	1.29e-35	152.0	1.88
Contig[0013]#DNA/Merlin	chr_001	97.558	737	14	1	1	733	30387212	30387948	0.0	1264.0	1.72
Contig[0013]#DNA/Merlin	chr_005	93.715	541	5	3	199	733	10935993	10936510	0.0	789.0	1.53
Contig[0014]#DNA/hAT-Ac	chr_003	99.945	1826	1	0	1	1826	30793449	30795274	0.0	3367.0	1.84
Contig[0014]#DNA/hAT-Ac	chr_003	100.0	95	0	0	1732	1826	10560537	10560631	1.96e-42	176.0	1.87
Contig[0014]#DNA/hAT-Ac	chr_003	100.0	1829	0	0	1	1829	14460939	14462767	0.0	3378.0	1.85
Contig[0014]#DNA/hAT-Ac	chr_003	100.0	1829	0	0	1	1829	10550729	10552557	0.0	3378.0	1.85
Contig[0014]#DNA/hAT-Ac	chr_005	100.0	1823	0	0	6	1828	13481127	13482949	0.0	3367.0	1.85
Contig[0015]#unclass/unclass	chr_002	100.0	142	0	0	1	142	17028937	17029078	9.56e-70	263.0	1.87
Contig[0015]#unclass/unclass	chr_005	100.0	142	0	0	1	142	15032939	15033080	9.56e-70	263.0	1.87
Contig[0015]#unclass/unclass	chr_002	100.0	142	0	0	1	142	24926032	24926173	9.56e-70	263.0	1.87
Contig[0016]#unclass/unclass	chr_005	93.449	519	25	4	1	519	8649156	8649665	0.0	763.0	1.5
Contig[0016]#unclass/unclass	chr_005	93.064	519	28	5	1	519	10498520	10499030	0.0	754.0	1.48
Contig[0016]#unclass/unclass	chr_002	97.701	522	8	2	1	519	2287895	2288415	0.0	896.0	1.72
Contig[0016]#unclass/unclass	chr_005	97.767	403	6	1	120	519	1839508	1839910	0.0	693.0	1.72
Contig[0017]#DNA/TcMar	chr_003	96.096	333	13	0	264	596	17174620	17174952	1.47e-153	544.0	1.64
Contig[0017]#DNA/TcMar	chr_005	94.779	249	6	2	352	596	2988355	2988600	1.2199999999999998e-104	381.0	1.56
Contig[0017]#DNA/TcMar	chr_001	97.651	596	14	0	1	596	21023918	21024513	0.0	1024.0	1.72
Contig[0017]#DNA/TcMar	chr_005	96.013	602	17	2	1	596	11303288	11303888	0.0	972.0	1.62
Contig[0018]#unclass/unclass	chr_001	100.0	140	0	0	1	140	20601698	20601837	1.2199999999999999e-68	259.0	1.86
Contig[0018]#unclass/unclass	chr_003	100.0	140	0	0	1	140	1075852	1075991	1.2199999999999999e-68	259.0	1.86
Contig[0020]#unclass/unclass	chr_005	100.0	2242	0	0	1	2242	12465740	12467981	0.0	4141.0	1.85
Contig[0020]#unclass/unclass	chr_003	100.0	180	0	0	2061	2240	30077182	30077361	1.35e-89	333.0	1.86
Contig[0020]#unclass/unclass	chr_005	100.0	2242	0	0	1	2242	2557970	2560211	0.0	4141.0	1.85
Contig[0020]#unclass/unclass	chr_005	100.0	2242	0	0	1	2242	9045034	9047275	0.0	4141.0	1.85
Contig[0021].fam1.2TIR.C#DNA/hAT-hobo	chr_004	95.296	659	21	2	2073	2731	2545776	2546424	0.0	1044.0	1.61
Contig[0021].fam1.2TIR.C#DNA/hAT-hobo	chr_003	97.024	2419	63	7	1	2415	9990389	9992802	0.0	4072.0	1.69
Contig[0021].fam1.2TIR.C#DNA/hAT-hobo	chr_004	97.733	838	18	1	1	837	2542820	2543657	0.0	1441.0	1.72
Contig[0021].fam1.2TIR.C#DNA/hAT-hobo	chr_005	87.926	323	23	5	718	1030	2965297	2965613	4.51e-100	368.0	1.16
Contig[0021].fam1.2TIR.C#DNA/hAT-hobo	chr_001	95.257	2741	84	21	5	2731	2949276	2951984	0.0	4311.0	1.59
Contig[0021].fam1.2TIR.C#DNA/hAT-hobo	chr_004	97.858	1727	25	6	1	1718	20379628	20381351	0.0	2976.0	1.73
Contig[0021].fam1.2TIR.C#DNA/hAT-hobo	chr_004	96.339	601	18	4	834	1432	2544043	2544641	0.0	987.0	1.65
Contig[0021].fam1.2TIR.C#DNA/hAT-hobo	chr_004	94.5	400	20	1	2124	2523	22847517	22847914	4.06e-175	617.0	1.55
Contig[0021].fam1.2TIR.C#DNA/hAT-hobo	chr_004	96.471	170	6	0	1720	1889	2545611	2545780	1.6799999999999999e-74	283.0	1.67
Contig[0022].chkTE#unclass/unclass	chr_005	100.0	166	0	0	1	166	10063071	10063236	9.23e-83	307.0	1.86
Contig[0022].chkTE#unclass/unclass	chr_005	99.419	172	1	0	1	172	13957714	13957885	1.98e-84	313.0	1.83
Contig[0022].chkTE#unclass/unclass	chr_004	98.545	275	3	1	1	275	3388259	3388532	3.97e-136	484.0	1.77
Contig[0023].H#DNA/hAT-hobo	chr_005	100.0	749	0	0	1	749	23513833	23514581	0.0	1384.0	1.85
Contig[0023].H#DNA/hAT-hobo	chr_001	100.0	749	0	0	1	749	26867262	26868010	0.0	1384.0	1.85
Contig[0023].H#DNA/hAT-hobo	chr_001	100.0	749	0	0	1	749	34414983	34415731	0.0	1384.0	1.85
Contig[0024].chkTE#unclass/unclass	chr_003	98.804	418	5	0	1	418	10411468	10411885	0.0	745.0	1.79
Contig[0024].chkTE#unclass/unclass	chr_002	99.048	210	2	0	209	418	19279841	19280050	1.0900000000000001e-103	377.0	1.8
Contig[0024].chkTE#unclass/unclass	chr_005	99.476	191	1	0	228	418	2792656	2792846	8.53e-95	348.0	1.83
Contig[0024].chkTE#unclass/unclass	chr_005	98.958	192	2	0	61	252	2792357	2792548	1.1e-93	344.0	1.8
Contig[0025].H#DNA/TcMar	chr_003	98.967	581	6	0	1	581	24016206	24016786	0.0	1040.0	1.79
Contig[0025].H#DNA/TcMar	chr_005	98.116	584	11	0	1	584	1062174	1062757	0.0	1018.0	1.75
Contig[0026].P#LINE/L1	chr_004	97.88	1415	25	2	1	1415	17024228	17025637	0.0	2453.0	1.74
Contig[0026].P#LINE/L1	chr_003	94.974	1353	61	4	1299	2650	10735572	10736918	0.0	2135.0	1.59
Contig[0026].P#LINE/L1	chr_001	97.073	410	10	2	1239	1648	12373745	12374152	0.0	693.0	1.7
Contig[0026].P#LINE/L1	chr_001	100.0	85	0	0	3666	3750	12375918	12376002	1.4600000000000001e-36	158.0	1.88
Contig[0026].P#LINE/L1	chr_001	97.353	680	18	0	2976	3655	8471505	8472184	0.0	1160.0	1.71
Contig[0026].P#LINE/L1	chr_005	98.798	3662	37	3	1	3655	12610593	12614254	0.0	6553.0	1.79
Contig[0026].P#LINE/L1	chr_004	96.532	2249	66	8	1407	3655	17027000	17029236	0.0	3738.0	1.67
Contig[0026].P#LINE/L1	chr_001	96.825	504	16	0	1	504	12373254	12373757	0.0	845.0	1.68
Contig[0026].P#LINE/L1	chr_001	96.219	767	29	0	2569	3335	12374152	12374918	0.0	1258.0	1.64
Contig[0026].P#LINE/L1	chr_005	99.136	810	7	0	2846	3655	12622220	12623029	0.0	1463.0	1.81
Contig[0026].P#LINE/L1	chr_005	98.662	3662	42	3	1	3655	12615788	12619449	0.0	6525.0	1.78
Contig[0026].P#LINE/L1	chr_003	100.0	59	0	0	1	59	20943216	20943274	4.16e-22	110.0	1.9
Contig[0027]#unclass/unclass	chr_003	98.089	314	6	0	39	352	14493651	14493964	6.8900000000000005e-155	547.0	1.75
Contig[0028].fam3.2TIR.C#DNA/hAT-Ac	chr_004	100.0	2236	0	0	541	2776	13801947	13804182	0.0	4130.0	1.85
Contig[0030]#DNA/MuDR	chr_004	98.025	557	11	0	31	587	1475903	1476459	0.0	976.0	1.76
Contig[0030]#DNA/MuDR	chr_004	89.279	513	35	7	1	505	31031280	31031780	1.08e-179	630.0	1.26
Contig[0030]#DNA/MuDR	chr_002	98.828	256	3	0	1	256	9170583	9170838	1.94e-127	457.0	1.79
Contig[0030]#DNA/MuDR	chr_003	95.563	586	22	4	2	587	16673431	16674012	0.0	942.0	1.62
Contig[0031]#unclass/unclass	chr_003	100.0	228	0	0	183	410	30464291	30464518	4.87e-117	422.0	1.86
Contig[0031]#unclass/unclass	chr_002	99.373	319	0	1	93	411	12096468	12096784	9.81e-164	577.0	1.83
Contig[0031]#unclass/unclass	chr_005	100.0	193	0	0	219	411	17625343	17625535	1.39e-97	357.0	1.86
Contig[0031]#unclass/unclass	chr_001	99.513	411	2	0	1	411	14738043	14738453	0.0	749.0	1.83
Contig[0031]#unclass/unclass	chr_001	100.0	192	0	0	220	411	32584088	32584279	5.01e-97	355.0	1.86
Contig[0031]#unclass/unclass	chr_004	99.268	410	3	0	1	410	13023008	13023417	0.0	741.0	1.81
Contig[0031]#unclass/unclass	chr_003	100.0	207	0	0	205	411	26515298	26515504	2.3e-105	383.0	1.86
Contig[0031]#unclass/unclass	chr_005	100.0	122	0	0	290	411	22239082	22239203	4.09e-58	226.0	1.87
Contig[0031]#unclass/unclass	chr_001	99.454	183	1	0	229	411	4349288	4349470	2.35e-90	333.0	1.83
Contig[0033]#DNA/Merlin	chr_005	93.666	1042	33	8	1	1030	17234341	17235361	0.0	1528.0	1.5
Contig[0033]#DNA/Merlin	chr_005	97.062	987	29	0	44	1030	10887285	10888271	0.0	1663.0	1.69
Contig[0034].H.DDE.notMAC#DNA/piggyBac	chr_002	100.0	2043	0	0	1	2043	11437983	11440025	0.0	3773.0	1.85
Contig[0034].H.DDE.notMAC#DNA/piggyBac	chr_003	99.951	2043	0	1	1	2043	13938568	13940609	0.0	3766.0	1.85
Contig[0035]#unclass/unclass	chr_004	97.941	340	7	0	1	340	11725018	11725357	1.03e-167	590.0	1.74
Contig[0035]#unclass/unclass	chr_005	95.789	190	8	0	3	192	12121854	12122043	1.16e-82	307.0	1.62
Contig[0035]#unclass/unclass	chr_004	96.176	340	13	0	1	340	11525680	11526019	1.05e-157	556.0	1.64
Contig[0035]#unclass/unclass	chr_005	98.473	131	2	0	1	131	9316998	9317128	7.2e-60	231.0	1.78
Contig[0035]#unclass/unclass	chr_001	94.937	316	15	1	1	316	15682021	15682335	8.32e-139	494.0	1.57
Contig[0036].check-RbCR1-7_SP#unclass/unclass	chr_002	98.206	446	7	1	1	446	18595195	18595639	0.0	778.0	1.75
Contig[0036].check-RbCR1-7_SP#unclass/unclass	chr_002	96.637	446	15	0	1	446	13331627	13332072	0.0	741.0	1.67
Contig[0036].check-RbCR1-7_SP#unclass/unclass	chr_003	95.067	446	12	1	1	446	11266140	11266575	0.0	693.0	1.59
Contig[0036].check-RbCR1-7_SP#unclass/unclass	chr_001	90.357	280	27	0	153	432	33041481	33041760	7.01e-101	368.0	1.32
Contig[0036].check-RbCR1-7_SP#unclass/unclass	chr_002	89.908	436	41	2	2	435	15927002	15927436	3.88e-158	558.0	1.29
Contig[0036].check-RbCR1-7_SP#unclass/unclass	chr_003	98.013	302	6	0	145	446	2073623	2073924	3.93e-148	525.0	1.74
Contig[0036].check-RbCR1-7_SP#unclass/unclass	chr_004	94.331	441	24	1	1	440	20275298	20275738	0.0	675.0	1.53
Contig[0037].H#DNA/TcMar	chr_005	93.141	277	14	3	47	318	10336078	10336354	8.01e-114	411.0	1.49
Contig[0037].H#DNA/TcMar	chr_003	94.953	317	15	1	1	317	10477967	10478282	9.94e-143	507.0	1.61
Contig[0037].H#DNA/TcMar	chr_005	91.336	277	15	2	1	268	11961295	11961571	2.2599999999999998e-104	379.0	1.37
Contig[0037].H#DNA/TcMar	chr_001	97.484	318	8	0	1	318	2261407	2261724	3.5e-157	555.0	1.75
Contig[0037].H#DNA/TcMar	chr_003	92.424	330	12	4	1	318	19052654	19052982	1.69e-130	466.0	1.42
Contig[0038].H#DNA/TcMar	chr_004	98.569	559	8	0	1	559	12047380	12047938	0.0	989.0	1.77
Contig[0038].H#DNA/TcMar	chr_004	96.986	564	11	3	1	559	15675367	15675929	0.0	942.0	1.68
Contig[0038].H#DNA/TcMar	chr_003	96.98	563	12	2	1	559	309552	310113	0.0	941.0	1.68
Contig[0038].H#DNA/TcMar	chr_001	92.844	559	15	7	1	559	18344052	18344585	0.0	787.0	1.48
Contig[0038].H#DNA/TcMar	chr_001	97.556	450	7	3	110	559	19799635	19800080	0.0	767.0	1.72
Contig[0038].H#DNA/TcMar	chr_002	96.422	559	17	3	1	559	10064546	10065101	0.0	918.0	1.65
Contig[0038].H#DNA/TcMar	chr_004	98.032	559	11	0	1	559	12029822	12030380	0.0	972.0	1.74
Contig[0039].H#DNA/TcMar	chr_001	95.946	1110	35	4	1	1102	24857630	24858737	0.0	1801.0	1.63
Contig[0039].H#DNA/TcMar	chr_001	95.1	1102	36	3	1	1102	18318291	18319374	0.0	1729.0	1.6
Contig[0039].H#DNA/TcMar	chr_002	95.739	1103	36	5	1	1099	15586440	15587535	0.0	1775.0	1.62
Contig[0040].fam10.2TIR.C.DDE#DNA/TcMar-pogo	chr_004	99.819	1659	1	1	1	1657	31282385	31284043	0.0	3046.0	1.84
Contig[0041]#unclass/unclass	chr_005	100.0	65	0	0	69	133	16834740	16834804	5.630000000000001e-27	121.0	1.89
Contig[0041]#unclass/unclass	chr_003	99.248	133	1	0	1	133	14185888	14186020	4.14e-63	241.0	1.83
Contig[0041]#unclass/unclass	chr_004	100.0	133	0	0	1	133	89666	89798	8.9e-65	246.0	1.86
Contig[0041]#unclass/unclass	chr_004	99.248	133	1	0	1	133	20095250	20095382	4.14e-63	241.0	1.83
Contig[0041]#unclass/unclass	chr_004	99.248	133	1	0	1	133	4951692	4951824	4.14e-63	241.0	1.83
Contig[0041]#unclass/unclass	chr_001	97.744	133	3	0	1	133	766298	766430	8.959999999999999e-60	230.0	1.74
Contig[0041]#unclass/unclass	chr_001	99.237	131	1	0	1	131	27312936	27313066	5.36e-62	237.0	1.82
Contig[0041]#unclass/unclass	chr_001	100.0	133	0	0	1	133	21871478	21871610	8.9e-65	246.0	1.86
Contig[0042]#unclass/unclass	chr_004	98.78	164	2	0	1	164	13973451	13973614	1.45e-78	292.0	1.79
Contig[0042]#unclass/unclass	chr_003	100.0	164	0	0	1	164	1995528	1995691	6.69e-82	303.0	1.86
Contig[0042]#unclass/unclass	chr_005	99.39	164	1	0	1	164	23042730	23042893	3.11e-80	298.0	1.83
Contig[0042]#unclass/unclass	chr_002	100.0	125	0	0	40	164	2243845	2243969	3.2e-60	231.0	1.86
Contig[0042]#unclass/unclass	chr_004	100.0	164	0	0	1	164	14133766	14133929	6.69e-82	303.0	1.86
Contig[0043].H#DNA/TcMar	chr_003	96.429	224	8	0	324	547	16141125	16141348	2.43e-101	370.0	1.66
Contig[0043].H#DNA/TcMar	chr_002	98.537	547	8	0	4	550	13823370	13823916	0.0	966.0	1.77
Contig[0043].H#DNA/TcMar	chr_005	97.826	552	7	2	1	548	21497182	21497732	0.0	950.0	1.73
Contig[0043].H#DNA/TcMar	chr_005	97.834	554	8	1	1	550	21566219	21566772	0.0	953.0	1.72
Contig[0044].chkTE#unclass/unclass	chr_005	98.956	479	3	1	1	479	14766165	14766641	0.0	856.0	1.8
Contig[0044].chkTE#unclass/unclass	chr_002	98.33	479	8	0	1	479	13517167	13517645	0.0	841.0	1.76
Contig[0044].chkTE#unclass/unclass	chr_001	98.539	479	7	0	1	479	20953538	20954016	0.0	846.0	1.77
Contig[0045]#unclass/unclass	chr_003	100.0	144	0	0	1	144	10766406	10766549	7.520000000000001e-71	267.0	1.87
Contig[0047]#unclass/unclass	chr_001	99.656	291	1	0	1	291	21024572	21024862	1.49e-150	532.0	1.83
Contig[0047]#unclass/unclass	chr_005	99.656	291	1	0	1	291	2988659	2988949	1.49e-150	532.0	1.83
Contig[0047]#unclass/unclass	chr_005	99.313	291	2	0	1	291	11303947	11304237	6.92e-149	527.0	1.82
Contig[0048]#unclass/unclass	chr_005	96.825	126	3	1	1	125	14507949	14508074	1.08e-53	209.0	1.67
Contig[0048]#unclass/unclass	chr_003	94.958	119	4	2	8	125	16143815	16143932	1.8199999999999997e-46	185.0	1.58
Contig[0048]#unclass/unclass	chr_001	99.2	125	1	0	1	125	18757501	18757625	1.07e-58	226.0	1.82
Contig[0048]#unclass/unclass	chr_001	95.726	117	4	1	10	125	14987474	14987590	5.07e-47	187.0	1.61
Contig[0048]#unclass/unclass	chr_001	94.318	88	3	2	39	125	2259204	2259290	6.7e-31	134.0	1.56
Contig[0048]#unclass/unclass	chr_002	97.015	67	2	0	59	125	9116053	9116119	8.72e-25	113.0	1.71
Contig[0048]#unclass/unclass	chr_002	91.453	117	9	1	10	125	18299899	18300015	1.0999999999999999e-38	159.0	1.37
Contig[0048]#unclass/unclass	chr_003	100.0	101	0	0	25	125	10192741	10192841	5.07e-47	187.0	1.87
Contig[0048]#unclass/unclass	chr_001	96.8	125	4	0	1	125	18438943	18439067	1.08e-53	209.0	1.69
Contig[0050]#unclass/unclass	chr_002	100.0	194	0	0	1	194	23208656	23208849	1.7e-98	359.0	1.86
Contig[0050]#unclass/unclass	chr_002	100.0	57	0	0	138	194	16606411	16606467	2.44e-22	106.0	1.89
Contig[0051]#unclass/unclass	chr_005	90.02	491	40	3	1	486	797087	797573	1.5e-178	627.0	1.29
Contig[0051]#unclass/unclass	chr_003	86.282	503	41	18	1	498	11725453	11725932	7.269999999999999e-147	521.0	1.09
Contig[0051]#unclass/unclass	chr_002	95.506	178	8	0	265	442	11257143	11257320	1.04e-75	285.0	1.61
Contig[0051]#unclass/unclass	chr_003	100.0	114	0	0	1	114	13853183	13853296	1.79e-53	211.0	1.87
Contig[0051]#unclass/unclass	chr_002	98.077	52	1	0	575	626	11259047	11259098	2.43e-17	91.6	1.8
Contig[0051]#unclass/unclass	chr_005	95.367	626	25	1	1	626	1445004	1445625	0.0	992.0	1.6
Contig[0051]#unclass/unclass	chr_002	93.805	113	7	0	1	113	11257029	11257141	3.03e-41	171.0	1.53
Contig[0051]#unclass/unclass	chr_002	89.463	503	44	3	1	498	16035523	16036021	1.5e-178	627.0	1.26
Contig[0052].TSD#DNA/TcMar	chr_001	97.578	289	7	0	1	289	13495841	13496129	1.94e-139	496.0	1.72
Contig[0052].TSD#DNA/TcMar	chr_002	96.503	286	10	0	1	286	17024462	17024747	9.08e-133	473.0	1.66
Contig[0052].TSD#DNA/TcMar	chr_005	96.54	289	3	1	1	289	7248775	7249056	3.27e-132	472.0	1.68
Contig[0052].TSD#DNA/TcMar	chr_004	92.691	301	10	3	1	289	16967157	16967457	9.28e-118	424.0	1.41
Contig[0052].TSD#DNA/TcMar	chr_001	97.213	287	8	0	3	289	528504	528790	1.1699999999999999e-136	486.0	1.7
Contig[0057]#DNA/TcMar	chr_001	90.635	299	23	2	7	305	21798616	21798909	2.77e-108	392.0	1.34
Contig[0057]#DNA/TcMar	chr_003	95.033	302	13	2	1	302	325414	325713	9.630000000000001e-133	473.0	1.58
Contig[0057]#DNA/TcMar	chr_002	100.0	47	0	0	259	305	10990034	10990080	1.47e-16	87.9	1.91
Contig[0057]#DNA/TcMar	chr_003	98.689	305	4	0	1	305	1112415	1112719	2.6e-153	542.0	1.78
Contig[0057]#DNA/TcMar	chr_002	98.328	299	4	1	1	299	10989636	10989933	9.43e-148	523.0	1.76
Contig[0057]#DNA/TcMar	chr_005	100.0	305	0	0	1	305	14044467	14044771	5.56e-160	564.0	1.86
Contig[0058]#DNA/TcMar	chr_001	97.381	420	9	1	1	418	21505118	21505537	0.0	713.0	1.7
Contig[0058]#DNA/TcMar	chr_004	96.172	418	16	0	1	418	21223731	21224148	0.0	684.0	1.64
Contig[0058]#DNA/TcMar	chr_001	93.602	422	12	6	1	418	16051524	16051934	2.12e-175	616.0	1.5
Contig[0060]#DNA/hAT-Ac	chr_004	100.0	199	0	0	1	199	14235766	14235964	2.91e-101	368.0	1.86
Contig[0061]#DNA/TcMar	chr_005	100.0	2438	0	0	1	2438	8293524	8295961	0.0	4503.0	1.85
Contig[0061]#DNA/TcMar	chr_004	100.0	2438	0	0	1	2438	13433758	13436195	0.0	4503.0	1.85
Contig[0063]#unclass/unclass	chr_002	99.492	394	2	0	1	394	22810343	22810736	0.0	717.0	1.82
Contig[0063]#unclass/unclass	chr_004	98.985	394	4	0	1	394	9786954	9787347	0.0	706.0	1.8
Contig[0064]#unclass/unclass	chr_005	100.0	210	0	0	1	210	11528880	11529089	2.37e-107	388.0	1.86
Contig[0064]#unclass/unclass	chr_001	99.524	210	1	0	1	210	220450	220659	1.1e-105	383.0	1.83
Contig[0065].H#DNA/TcMar-pogo	chr_002	96.552	638	21	1	126	762	10168615	10169252	0.0	1066.0	1.67
Contig[0067]#unclass/unclass	chr_004	97.0	400	12	0	1	400	13422674	13423073	0.0	675.0	1.69
Contig[0067]#unclass/unclass	chr_002	97.75	400	8	1	1	400	12430868	12431266	0.0	689.0	1.73
Contig[0067]#unclass/unclass	chr_005	96.734	398	11	2	1	398	17780913	17781308	0.0	664.0	1.68
Contig[0068]#unclass/unclass	chr_004	90.722	776	49	4	1	776	25766776	25767528	0.0	1013.0	1.35
Contig[0068]#unclass/unclass	chr_001	97.294	776	21	0	1	776	15417055	15417830	0.0	1317.0	1.7
Contig[0069].H#DNA/TcMar	chr_004	95.0	380	17	2	1	379	3123259	3123637	1.75e-169	597.0	1.58
Contig[0069].H#DNA/TcMar	chr_004	98.368	919	14	1	1	919	23202910	23203827	0.0	1615.0	1.76
Contig[0069].H#DNA/TcMar	chr_002	94.275	524	22	5	400	919	10909925	10910444	0.0	795.0	1.53
Contig[0069].H#DNA/TcMar	chr_002	88.11	328	19	6	1	328	10907329	10907636	3.21e-102	374.0	1.22
